epoch,accuracy,loss,val_accuracy,val_loss
0,0.9898834824562073,0.24824665486812592,1.0,0.0
1,1.0,0.0,1.0,0.0
2,1.0,0.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,1.0,0.0,1.0,0.0
5,1.0,0.0,1.0,0.0
6,1.0,0.0,1.0,0.0
7,1.0,0.0,1.0,0.0
0,0.9870390892028809,0.14754250645637512,1.0,0.0
1,1.0,0.0,1.0,0.0
2,1.0,0.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,1.0,0.0,1.0,0.0
5,1.0,0.0,1.0,0.0
6,1.0,0.0,1.0,0.0
